State;Code;Population;PEVRegistrations;TotalChargingUnits;FastChargingUnits;RevisedAnnualPersonalIncomePerCapita;MedianHouseholdIncome;MedianOverMiddleIncome;PercentOfHighSchoolDegree;PercentOfBachelorDegree;PercentOfAdvancedDegree;AverageRetailPriceOfElectricity
ALABAMA;AL;4863300;0,324;0,050;0,010;38896;44758;1,15;0,851;0,247;0,094;9,33
ALASKA;AK;741894;0,551;0,012;0,000;55645;74444;1,34;0,931;0,296;0,106;17,59
ARIZONA;AZ;6931071;1,656;0,148;0,021;40415;51340;1,27;0,867;0,289;0,108;10,34
ARKANSAS;AR;2988248;0,215;0,026;0,000;39722;42336;1,07;0,860;0,224;0,082;8,19
CALIFORNIA;CA;39250017;6,651;0,387;0,039;56374;63783;1,13;0,824;0,329;0,123;15,42
COLORADO;CO;5540545;1,592;0,224;0,025;51999;62520;1,20;0,914;0,399;0,149;9,94
CONNECTICUT;CT;3576452;1,309;0,202;0,026;69311;71755;1,04;0,905;0,386;0,167;17,77
DELAWARE;DE;952065;0,964;0,106;0,040;47869;61017;1,27;0,893;0,310;0,126;11,17
DISTRICT OF COLUMBIA;DC;681170;1,524;0,314;0,009;76109;72935;0,96;0,905;0,568;0,329;12,07
FLORIDA;FL;20612439;1,129;0,099;0,011;45953;48900;1,06;0,874;0,286;0,104;10,49
GEORGIA;GA;10310371;2,184;0,165;0,023;42159;51037;1,21;0,864;0,305;0,117;9,62
HAWAII;HI;1428557;3,797;0,417;0,050;50363;71977;1,43;0,920;0,319;0,106;26,17
IDAHO;ID;1683140;0,631;0,092;0,026;39470;49174;1,25;0,904;0,276;0,089;8,09
ILLINOIS;IL;12801539;0,924;0,087;0,011;51817;59196;1,14;0,888;0,340;0,130;9,4
INDIANA;IN;6633053;0,571;0,059;0,009;43097;50433;1,17;0,884;0,256;0,093;8,99
IOWA;IA;3134693;0,513;0,069;0,010;46000;54570;1,19;0,918;0,284;0,093;8,35
KANSAS;KS;2907289;0,555;0,253;0,015;47228;53571;1,13;0,905;0,328;0,122;10,14
KENTUCKY;KY;4436974;0,319;0,037;0,009;38926;44811;1,15;0,857;0,234;0,095;8,14
LOUISIANA;LA;4681666;0,240;0,037;0,011;42298;45652;1,08;0,844;0,234;0,082;7,65
MAINE;ME;1331479;0,915;0,146;0,023;44053;50826;1,15;0,923;0,301;0,113;12,78
MARYLAND;MD;6016447;1,316;0,200;0,028;58052;76067;1,31;0,901;0,393;0,185;12,07
MASSACHUSETTS;MA;6811779;1,291;0,210;0,019;64234;70954;1,10;0,904;0,427;0,190;16,9
MICHIGAN;MI;9928300;1,394;0,106;0,008;44253;50803;1,15;0,904;0,283;0,111;10,76
MINNESOTA;MN;5519952;0,780;0,107;0,017;52038;63217;1,21;0,929;0,348;0,117;9,53
MISSISSIPPI;MS;2988726;0,149;0,025;0,006;35484;40528;1,14;0,841;0,218;0,082;9,53
