State;Population;PEVRegistrations;TotalChargingUnits;FastChargingUnits;RevisedAnnualPersonalIncomePerCapita;MedianHouseholdIncome;MedianOverMiddleIncome;PercentOfHighSchoolDegree;PercentOfBachelorDegree;PercentOfAdvancedDegree;AverageRetailPriceOfElectricity
ALABAMA;4,863300;3,244;0,496;0,104;38,896;44,758;1,15;85,1;24,7;9,4;9,33
ALASKA;0,741894;5,509;0,121;0,000;55,645;74,444;1,34;93,1;29,6;10,6;17,59
ARIZONA;6,931071;16,560;1,482;0,207;40,415;51,340;1,27;86,7;28,9;10,8;10,34
ARKANSAS;2,988248;2,146;0,261;0,003;39,722;42,336;1,07;86,0;22,4;8,2;8,19
CALIFORNIA;39,250017;66,509;3,871;0,387;56,374;63,783;1,13;82,4;32,9;12,3;15,42
COLORADO;5,540545;15,920;2,240;0,246;51,999;62,520;1,20;91,4;39,9;14,9;9,94
CONNECTICUT;3,576452;13,092;2,022;0,263;69,311;71,755;1,04;90,5;38,6;16,7;17,77
DELAWARE;0,952065;9,635;1,061;0,403;47,869;61,017;1,27;89,3;31,0;12,6;11,17
DISTRICT OF COLUMBIA;0,681170;15,235;3,142;0,094;76,109;72,935;0,96;90,5;56,8;32,9;12,07
FLORIDA;20,612439;11,288;0,990;0,109;45,953;48,900;1,06;87,4;28,6;10,4;10,49
GEORGIA;10,310371;21,842;1,652;0,231;42,159;51,037;1,21;86,4;30,5;11,7;9,62
HAWAII;1,428557;37,969;4,172;0,501;50,363;71,977;1,43;92,0;31,9;10,6;26,17
IDAHO;1,683140;6,310;0,921;0,258;39,470;49,174;1,25;90,4;27,6;8,9;8,09
ILLINOIS;12,801539;9,242;0,872;0,113;51,817;59,196;1,14;88,8;34,0;13,0;9,4
INDIANA;6,633053;5,707;0,592;0,095;43,097;50,433;1,17;88,4;25,6;9,3;8,99
IOWA;3,134693;5,135;0,686;0,103;46,000;54,570;1,19;91,8;28,4;9,3;8,35
KANSAS;2,907289;5,555;2,528;0,152;47,228;53,571;1,13;90,5;32,8;12,2;10,14
KENTUCKY;4,436974;3,193;0,372;0,093;38,926;44,811;1,15;85,7;23,4;9,5;8,14
LOUISIANA;4,681666;2,398;0,367;0,114;42,298;45,652;1,08;84,4;23,4;8,2;7,65
MAINE;1,331479;9,149;1,465;0,234;44,053;50,826;1,15;92,3;30,1;11,3;12,78
MARYLAND;6,016447;13,162;2,005;0,281;58,052;76,067;1,31;90,1;39,3;18,5;12,07
MASSACHUSETTS;6,811779;12,905;2,104;0,189;64,234;70,954;1,10;90,4;42,7;19,0;16,9
MICHIGAN;9,928300;13,936;1,062;0,085;44,253;50,803;1,15;90,4;28,3;11,1;10,76
MINNESOTA;5,519952;7,797;1,069;0,171;52,038;63,217;1,21;92,9;34,8;11,7;9,53
MISSISSIPPI;2,988726;1,488;0,248;0,057;35,484;40,528;1,14;84,1;21,8;8,2;9,53
MISSOURI;6,093000;5,777;2,511;0,176;42,926;49,593;1,16;89,6;28,5;10,8;9,44
MONTANA;1,042520;4,654;0,806;0,419;42,947;48,380;1,13;92,8;31,0;10,1;8,9
NEBRASKA;1,907116;4,845;0,750;0,180;50,029;54,384;1,09;90,9;31,4;10,4;8,91
NEVADA;2,940058;12,458;1,976;0,395;43,567;53,094;1,22;86,0;23,5;8,1;9,48
NEW HAMPSHIRE;1,334795;10,702;1,304;0,326;55,954;68,485;1,22;92,8;36,6;14,1;16,02
NEW JERSEY;8,944469;12,467;0,581;0,134;61,472;73,702;1,20;89,3;38,6;14,9;13,74
NEW MEXICO;2,081015;6,033;0,567;0,244;38,474;45,674;1,19;85,4;27,2;11,7;9,62
NEW YORK;19,745289;10,140;0,856;0,094;59,563;60,741;1,02;86,3;35,7;15,5;15,28
NORTH CAROLINA;10,146788;6,955;1,228;0,160;42,244;48,256;1,14;87,3;30,4;10,8;9,37
NORTH DAKOTA;0,757952;3,211;0,172;0,000;54,627;59,114;1,08;92,4;29,6;7,8;8,75
OHIO;11,614373;6,607;0,603;0,121;44,593;50,674;1,14;90,0;27,5;10,3;9,98
OKLAHOMA;3,923561;3,997;0,275;0,110;42,692;48,038;1,13;87,8;25,2;8,4;7,9
OREGON;4,093465;29,063;2,980;0,536;45,399;53,270;1,17;90,3;32,7;12,7;8,75
PENNSYLVANIA;12,784227;7,132;0,580;0,110;50,742;54,895;1,08;90,1;30,8;12,0;10,31
RHODE ISLAND;1,056426;7,711;1,827;0,183;50,427;58,387;1,16;88,5;34,1;13,5;17,01
SOUTH CAROLINA;4,961119;4,304;0,903;0,135;39,517;46,898;1,19;86,6;27,2;9,8;9,58
SOUTH DAKOTA;0,865454;3,610;0,462;0,162;47,834;52,078;1,09;91,2;28,9;9,2;9,47
TENNESSEE;6,651194;6,893;1,525;0,198;43,326;46,574;1,07;87,0;26,1;9,4;9,3
TEXAS;27,862596;6,866;0,913;0,100;46,274;54,727;1,18;82,9;28,9;10,0;8,7
UTAH;3,051217;13,151;1,232;0,296;40,925;62,518;1,53;91,7;32,6;11,2;8,54
VERMONT;0,624594;23,838;5,796;0,869;49,984;56,104;1,12;92,1;36,4;15,2;14,41
VIRGINIA;8,411808;8,907;1,060;0,191;52,957;66,149;1,25;89,3;38,1;16,4;9,31
WASHINGTON;7,288000;30,358;2,554;0,230;54,579;62,848;1,15;90,8;35,1;13,2;7,4
WEST VIRGINIA;1,831102;2,289;0,988;0,158;36,624;42,644;1,16;86,0;20,8;8,2;8,11
WISCONSIN;5,778708;8,406;0,639;0,109;46,762;54,610;1,17;91,9;29,5;10,2;10,73
WYOMING;0,585501;2,906;1,144;0,412;55,115;59,143;1,07;93,2;27,1;9,7;7,97
